@RELATION train_noxyregion

@attribute R REAL
@attribute G REAL
@attribute B REAL
@attribute G1 REAL
@attribute G2 REAL
@attribute num_pixels_regions REAL
@attribute text REAL
@attribute type {1,2,3,4,5,6,7}

@DATA
195.75,197.34,144.29,27.009,14.039,178,9,2
83.966,110.39,58.17,94.858,31.601,88,29,2
98.955,113.36,59.705,-41.085,26.414,44,49,2
138.51,141.22,68.785,-15.846,24.62,65,22,2
241.42,223.5,201.6,13.48,8.498,48,7,3
229.38,211.32,193.18,19.35,72.132,60,7,3
231.7,213.05,188.2,-13.356,10.297,20,14,3
212.52,184.89,161.15,0.48776,19.012,27,35,3
228.96,199.28,164.68,-15.682,11.26,25,15,3
210.17,184.1,158.29,35.992,23.12,41,28,3
244,221,195.6,-65.798,95.541,70,15,3
236,212.63,183.44,14.03,11.149,16,16,3
245.96,226.55,202.45,-0.80831,10.141,135,12,3
243.63,227.67,202.54,33.797,15.953,122,7,3
249.97,235.5,214.37,43.091,70.727,90,16,3
249.82,233.47,208.53,-14.26,87.664,17,11,3
251.58,236.4,213.19,23.678,51.522,43,6,3
250.55,235.71,210.67,70.885,66.702,58,3,3
248.18,231.39,205.79,79.628,9.542,76,22,3
248.33,232.37,208.41,-17.348,87.994,63,14,3
243.19,223.82,202.24,12.122,10.06,72,23,3
248.35,229.42,202.65,23.316,11.587,26,19,3
244.49,222.62,197.96,23.979,10.131,47,28,3
248.63,227.25,201.13,56.608,10.045,40,8,3
248.32,233.74,207.18,29.517,10.907,38,7,3
251.94,235.86,212.54,-19.314,60.567,78,8,3
240.9,223.49,198.67,37.694,19.445,100,18,3
234.2,204.26,168.59,11.523,15.374,61,22,3
232.42,205.4,175.72,10.046,15.508,43,33,3
238.24,217.16,192.04,91.651,16.144,45,29,3
246.66,226.41,202.8,-0.014412,13.26,56,35,3
244.02,222.96,196.73,21.938,13.14,48,18,3
246.09,231,206.83,-25.443,14.441,35,10,3
250.13,235.16,211.5,15.06,7.769,90,5,3
243.38,232.12,209.62,25.758,15.896,26,11,3
245.37,225.57,200.96,69.567,11.339,49,12,3
247.86,230.45,206.83,14.796,10.231,42,11,3
243.55,221.55,196.31,-94.681,11.943,55,17,3
243.19,222.41,198.19,-20.433,16.813,74,10,3
245.7,225.95,202.52,15.443,12.677,81,14,3
231.54,206.54,178.96,-18.236,10.942,178,16,3
244.4,225,198.56,48.711,14.675,25,16,3
246.52,229.83,203.75,-19.816,10.956,48,16,3
243.28,223.93,198.35,44.166,13.358,81,25,3
251.61,238.39,214.29,12.68,62.785,28,8,3
251.92,242.74,221.38,20.209,4.83,53,5,3
248.82,236.12,214.37,-31.269,78.945,49,12,3
249.94,236.96,217.36,14.599,9.238,96,7,3
251.31,237.48,215.31,14.179,8.216,29,13,3
246.01,229.1,205.16,57.351,10.827,79,16,3
233.95,213.79,193.68,-55.439,12.613,84,15,3
225.21,206.03,189,75.594,12.266,70,25,3
210.68,186.95,167.03,0.72192,14.731,59,13,3
212.04,188.64,168.45,60.315,16.114,47,20,3
214.59,186.8,167.42,74.518,15.177,59,23,3
241.06,219.92,193.68,30.323,15.257,63,24,3
241.86,219.09,195.35,-22.537,93.364,97,13,3
245.36,224.46,198.91,13.926,10.839,85,10,3
230.97,206.63,181.53,18.405,11.294,40,14,3
247.55,227.89,202.83,0.040617,89.969,127,11,3
229.79,205.92,181.45,10.467,15.933,38,22,3
227.72,203.5,180.55,9.348,95.585,64,15,3
216.34,194.57,172.06,-34.924,12.366,35,31,3
241.7,222.3,198.79,10.148,12.492,53,11,3
247.62,223.3,193.7,80.275,80.629,61,20,3
246.15,227.36,203.26,-0.28442,10.885,159,17,3
249.19,231.05,206.76,24.501,53.883,21,7,3
248.38,229.9,205.26,97.225,91.746,80,14,3
249,237,216,19.46,74.729,10,16,3
248.3,231.23,208.27,14.794,73.055,64,12,3
250.82,232.45,207.75,10.608,59.918,44,11,3
248.37,229.79,200.39,-0.74777,74.043,67,18,3
249.92,232.63,209.13,-13.825,55.041,79,8,3
247.17,231.31,205.53,97.865,13.084,36,18,3
242.72,219.18,192.27,0.62732,11.086,102,19,3
245.94,221.86,196.77,94.816,11.129,35,19,3
248.84,233.81,207.81,47.646,92.895,31,8,3
246.83,223.52,197.19,-0.096114,77.439,52,11,3
242.87,221.32,197.9,49.015,92.102,77,13,3
202.67,179.26,157.91,-24.092,15.854,159,23,3
241.7,216.55,182.45,-0.9348,10.839,20,13,3
247.95,229.8,201.15,26.113,11.69,20,21,3
251.41,231.32,202.86,-11.416,56.373,56,7,3
250.96,234.93,209.87,-4.568,65.121,82,8,3
249.24,233.38,208.43,69.008,9.199,21,14,3
248.76,233.24,207.57,88.761,81.331,21,17,3
200.7,189.74,182.9,-6.278,20.968,98,22,4
199.16,186.16,178.41,-11.921,17.333,49,22,4
189.91,178.2,173.87,1.653,17.803,102,29,4
199.44,187.15,180.12,-28.763,14.357,82,10,4
204.39,190.16,184.92,-56.697,15.546,61,25,4
209.9,200.23,198.52,-97.723,18.767,31,39,4
204.19,190.15,184.09,36.393,23.599,93,30,4
206.74,193.89,189.25,47.335,17.348,57,19,4
202.91,191.58,184.28,-71.609,18.318,64,19,4
204.26,192.12,186.91,38.436,18.775,105,20,4
204.66,192.09,188.35,29.493,18.733,92,14,4
203.08,190.19,184.69,52.054,22.268,36,43,4
199.23,186.62,180.3,38.721,15.131,79,12,4
201.8,186.96,182.13,27.688,18.425,45,30,4
199.19,185.37,181.33,13.049,84.483,70,12,4
200.57,186.29,181.14,13.616,21.427,28,17,4
141.52,137.03,143.87,13.641,12.458,31,21,4
198.74,188,180.04,-30.437,18.766,23,16,4
195.69,186.15,182.23,-18.982,32.287,13,31,4
190.07,178.43,173.36,-0.49082,10.362,14,18,4
193.34,182.39,180.68,20.678,16.941,71,24,4
166.51,156.68,155.75,-57.181,22.009,57,18,4
208.55,199.82,194.61,-2.262,20.656,56,41,4
199.43,186.17,182.35,13.422,20.487,23,36,4
208.65,197.24,193.16,32.485,15.21,49,13,4
202.6,193.72,188.64,-86.862,14.84,47,16,4
203.41,196.32,190.36,-20.671,18.771,22,14,4
206.57,198.02,194.1,0.36605,11.928,124,35,4
204.42,191.12,185.49,-13.806,15.966,43,16,4
195.72,185.85,181.44,10.001,21.889,109,20,4
151.91,161.21,167.67,0.17545,59.441,33,58,5
182.29,186.45,182.52,41.485,37.683,150,3,5
223.72,231.76,239.72,20.922,33.737,29,4,5
77.11,68.801,71.618,19.827,29.04,136,12,5
232.04,232.41,229.17,8.76,20.638,113,2,5
229.25,235.21,241.64,10.653,53.144,28,11,5
204.83,210.01,210.24,-0.88666,36.493,92,8,5
219.47,221.35,219.21,-51.768,23.868,78,5,5
74.059,72.468,75.285,-10.873,29.379,186,3,5
89.427,85.864,83.68,-27.608,31.903,206,21,5
97.728,92.148,95.123,24.384,11.181,81,7,5
164.45,153.27,146.64,75.232,29.065,321,6,5
184.35,181,174.34,35.446,39.457,210,36,5
178.99,181.03,183.61,-19.285,37.01,75,34,5
142.68,137.94,130.4,-27.708,46.829,420,41,5
124.94,122.87,118.52,-1.583,42.797,358,49,5
100.06,96.543,97.343,42.309,12.164,70,10,5
98.245,93.113,91.17,-20.877,11.507,53,12,5
92.777,92.146,88.062,99.651,26.444,130,14,5
117.86,124.78,128.95,-37.218,35.057,175,21,5
131.6,122.29,116.26,18.723,35.018,489,15,5
171.44,166.17,160.64,-18.107,42.491,321,23,5
194.71,185.97,177.18,-28.004,28.2,338,6,5
121.34,116.86,115.41,-20.542,50.379,109,69,5
107.98,108.34,109.74,94.929,48.665,191,102,5
