@RELATION train_nocolour

@attribute G1 REAL
@attribute G2 REAL
@attribute x_region REAL
@attribute y_region REAL
@attribute num_pixels_regions REAL
@attribute text REAL
@attribute type {1,2,3,4,5,6,7}

@DATA
11.776,76.058,459.57,173.81,53,12,6
-49.531,14.183,485.54,150.6,89,38,6
15.515,12.654,504.73,171.47,45,30,6
20.408,47.533,532.17,153.75,126,4,6
12.605,56.216,529.96,175.96,25,6,6
14.389,57.312,571.23,175.21,39,9,6
23.878,55.392,570.6,140.36,132,4,6
13.247,46.942,464.79,783.43,28,2,6
0.78056,30.678,503.04,794.12,142,83,7
-34.415,31.693,528.4,792.52,157,10,7
87.069,0.019415,21.133,42.705,1167,0,1
82.308,0.12247,28.312,84.902,234,0,1
83.821,0.042524,16.705,166.78,386,0,1
50.378,80.032,24.533,307.82,255,0,1
87.653,0.03069,36.509,376.47,1227,0,1
76.386,31.442,31.059,453.04,2035,0,1
84.994,0.13411,29.002,599.13,512,0,1
88.213,0,51.521,751.1,10172,0,1
89.557,0.018155,137.77,662.5,6138,0,1
88.109,0.06296,155.37,753.41,10285,0,1
89.672,0.010761,243.51,657.26,5480,0,1
71.83,29.084,225.03,749.82,1007,0,1
77.519,0.41028,353.19,662.84,560,0,1
13.6,17.949,367.19,788.86,37,18,2
17.451,12.187,456.49,782.92,39,13,2
-0.067439,15.186,478.52,743.48,31,21,2
96.457,27.97,484.11,680.55,113,31,2
18.626,14.976,488.58,615.99,131,19,2
-11.603,32.092,263.7,16.243,37,39,2
10.595,30.31,313.93,47.578,45,27,2
68.329,26.314,390.34,67.52,50,55,2
-45.241,22.911,467.48,76.495,198,29,2
20.647,15.635,505.6,17.795,88,31,2
-11.935,23.549,387.31,14.241,58,23,2
6.074,15.978,548.89,711.74,191,14,2
16.349,10.915,572.34,626.53,38,12,2
34.381,12.454,133.97,565.63,106,40,3
37.534,11.251,217.31,554.99,122,18,3
72.157,18.499,338.81,560.35,111,21,3
11.945,15.651,403.35,557.95,57,16,3
0.91336,13.991,478.65,557.26,127,38,3
-7.98,16.2,555.9,570.43,133,32,3
15.477,12.483,583.58,488.18,40,17,3
56.436,17.116,472.32,485.36,25,16,3
-0.776,14.803,340.08,487.43,61,12,3
14.052,12.215,213.28,485.3,53,13,3
11.19,17.844,135.86,439.37,49,22,3
10.774,11.976,229.45,434.48,146,16,3
16.772,16.987,367.93,427.77,30,26,3
59.103,26.268,474.37,429.71,73,44,3
57.312,13.603,550.75,423.37,84,30,3
21.824,17.16,436.51,337.37,43,20,3
0.40498,14.809,342.81,343.72,88,21,3
-83.668,22.819,276.46,355.11,72,21,3
